"GEO_ID","NAME","B23025_001E","B23025_001M","B23025_002E","B23025_002M","B23025_003E","B23025_003M","B23025_004E","B23025_004M","B23025_005E","B23025_005M","B23025_006E","B23025_006M","B23025_007E","B23025_007M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!In labor force","Margin of Error!!Total!!In labor force","Estimate!!Total!!In labor force!!Civilian labor force","Margin of Error!!Total!!In labor force!!Civilian labor force","Estimate!!Total!!In labor force!!Civilian labor force!!Employed","Margin of Error!!Total!!In labor force!!Civilian labor force!!Employed","Estimate!!Total!!In labor force!!Civilian labor force!!Unemployed","Margin of Error!!Total!!In labor force!!Civilian labor force!!Unemployed","Estimate!!Total!!In labor force!!Armed Forces","Margin of Error!!Total!!In labor force!!Armed Forces","Estimate!!Total!!Not in labor force","Margin of Error!!Total!!Not in labor force",
"0400000US13","Georgia","7508748","2395","4844814","9798","4789521","9957","4277991","11079","511530","6202","55293","1639","2663934","9923",
"1400000US13001950100","Census Tract 9501, Appling County, Georgia","2293","258","1440","221","1440","221","1382","232","58","53","0","13","853","156",
"1400000US13001950200","Census Tract 9502, Appling County, Georgia","3263","326","1916","275","1876","281","1676","267","200","87","40","61","1347","257",
"1400000US13001950300","Census Tract 9503, Appling County, Georgia","4114","334","2511","373","2428","413","2323","392","105","88","83","116","1603","284",
"1400000US13001950400","Census Tract 9504, Appling County, Georgia","1165","228","589","134","589","134","549","128","40","31","0","13","576","178",
"1400000US13001950500","Census Tract 9505, Appling County, Georgia","3156","349","1766","340","1766","340","1622","316","144","94","0","13","1390","218",
"1400000US13003960100","Census Tract 9601, Atkinson County, Georgia","1585","201","943","148","943","148","879","139","64","38","0","13","642","155",
"1400000US13003960200","Census Tract 9602, Atkinson County, Georgia","3678","273","2147","215","2147","215","1880","204","267","89","0","13","1531","183",
"1400000US13003960300","Census Tract 9603, Atkinson County, Georgia","877","224","499","169","499","169","416","142","83","62","0","13","378","118",
"1400000US13005970100","Census Tract 9701, Bacon County, Georgia","2107","299","1303","258","1303","258","1241","249","62","52","0","13","804","197",
"1400000US13005970201","Census Tract 9702.01, Bacon County, Georgia","3004","320","1473","255","1473","255","1394","260","79","77","0","13","1531","230",
"1400000US13005970202","Census Tract 9702.02, Bacon County, Georgia","3484","329","1698","272","1698","272","1570","277","128","93","0","13","1786","297",
"1400000US13007960100","Census Tract 9601, Baker County, Georgia","1835","216","819","156","819","156","741","161","78","56","0","13","1016","170",
"1400000US13007960200","Census Tract 9602, Baker County, Georgia","884","181","375","131","375","131","302","112","73","59","0","13","509","131",
"1400000US13009970100","Census Tract 9701, Baldwin County, Georgia","4259","335","2360","312","2360","312","2227","285","133","88","0","19","1899","302",
"1400000US13009970200","Census Tract 9702, Baldwin County, Georgia","5579","541","3336","475","3336","475","3127","398","209","166","0","19","2243","390",
"1400000US13009970300","Census Tract 9703, Baldwin County, Georgia","4712","480","2640","419","2640","419","2546","393","94","84","0","19","2072","343",
"1400000US13009970400","Census Tract 9704, Baldwin County, Georgia","4519","534","2526","398","2526","398","2248","371","278","120","0","19","1993","404",
"1400000US13009970500","Census Tract 9705, Baldwin County, Georgia","4763","680","1810","271","1798","270","1477","253","321","179","12","23","2953","623",
"1400000US13009970600","Census Tract 9706, Baldwin County, Georgia","3465","309","1568","279","1568","279","1423","263","145","89","0","13","1897","302",
"1400000US13009970701","Census Tract 9707.01, Baldwin County, Georgia","2294","313","998","200","960","193","798","166","162","84","38","62","1296","250",
"1400000US13009970702","Census Tract 9707.02, Baldwin County, Georgia","3016","383","778","162","778","162","622","132","156","89","0","13","2238","354",
"1400000US13009970800","Census Tract 9708, Baldwin County, Georgia","5562","443","2612","336","2612","336","2331","309","281","164","0","19","2950","399",
"1400000US13011970100","Census Tract 9701, Banks County, Georgia","3819","277","2412","260","2412","260","2210","273","202","86","0","19","1407","200",
"1400000US13011970200","Census Tract 9702, Banks County, Georgia","4124","302","2517","250","2503","249","2224","199","279","122","14","21","1607","212",
"1400000US13011970300","Census Tract 9703, Banks County, Georgia","3094","228","2045","218","2045","218","1865","218","180","69","0","13","1049","145",
"1400000US13011970400","Census Tract 9704, Banks County, Georgia","3226","225","1919","266","1919","266","1653","247","266","116","0","13","1307","228",
"1400000US13013180103","Census Tract 1801.03, Barrow County, Georgia","2693","343","1812","302","1812","302","1586","247","226","163","0","13","881","223",
"1400000US13013180104","Census Tract 1801.04, Barrow County, Georgia","1410","206","996","208","996","208","928","205","68","45","0","13","414","103",
"1400000US13013180105","Census Tract 1801.05, Barrow County, Georgia","1990","152","1381","184","1381","184","1278","156","103","82","0","13","609","126",
"1400000US13013180106","Census Tract 1801.06, Barrow County, Georgia","1819","210","1257","216","1257","216","1135","214","122","75","0","13","562","159",
"1400000US13013180107","Census Tract 1801.07, Barrow County, Georgia","3234","420","1996","273","1996","273","1679","249","317","167","0","13","1238","318",
"1400000US13013180108","Census Tract 1801.08, Barrow County, Georgia","2749","257","1831","185","1831","185","1638","177","193","104","0","13","918","217",
"1400000US13013180203","Census Tract 1802.03, Barrow County, Georgia","2766","290","1600","272","1600","272","1439","266","161","100","0","13","1166","222",
"1400000US13013180204","Census Tract 1802.04, Barrow County, Georgia","1857","303","1212","275","1212","275","1119","272","93","45","0","13","645","162",
"1400000US13013180205","Census Tract 1802.05, Barrow County, Georgia","3074","321","1782","261","1782","261","1495","222","287","142","0","13","1292","230",
"1400000US13013180206","Census Tract 1802.06, Barrow County, Georgia","2407","492","1705","462","1705","462","1473","423","232","109","0","13","702","151",
"1400000US13013180301","Census Tract 1803.01, Barrow County, Georgia","1663","187","1151","157","1137","157","1038","149","99","55","14","24","512","129",
"1400000US13013180302","Census Tract 1803.02, Barrow County, Georgia","4255","344","3098","343","3098","343","2763","313","335","167","0","19","1157","240",
"1400000US13013180303","Census Tract 1803.03, Barrow County, Georgia","2881","360","2062","303","2062","303","1901","266","161","98","0","13","819","192",
"1400000US13013180401","Census Tract 1804.01, Barrow County, Georgia","3692","449","2570","384","2570","384","2247","381","323","225","0","13","1122","239",
"1400000US13013180402","Census Tract 1804.02, Barrow County, Georgia","4407","388","2983","338","2966","341","2575","303","391","169","17","29","1424","266",
"1400000US13013180501","Census Tract 1805.01, Barrow County, Georgia","4035","355","3152","344","3087","336","2698","367","389","249","65","77","883","166",
"1400000US13013180502","Census Tract 1805.02, Barrow County, Georgia","3291","501","2342","321","2342","321","2038","289","304","167","0","13","949","330",
"1400000US13013180503","Census Tract 1805.03, Barrow County, Georgia","3411","380","2498","313","2466","315","2352","333","114","80","32","43","913","207",
"1400000US13015960101","Census Tract 9601.01, Bartow County, Georgia","1276","146","780","170","780","170","643","151","137","84","0","13","496","146",
